employee_id,scale_code,score
EMP100000,papi_n,2.0
EMP100001,papi_n,8.0
EMP100002,papi_n,9.0
EMP100003,papi_n,9.0
EMP100004,papi_n,7.0
EMP100005,papi_n,5.0
EMP100006,papi_n,2.0
EMP100007,papi_n,7.0
EMP100008,papi_n,9.0
EMP100009,papi_n,9.0
EMP100010,papi_n,2.0
EMP100011,papi_n,5.0
EMP100012,papi_n,8.0
EMP100013,papi_n,5.0
EMP100014,papi_n,8.0
EMP100015,papi_n,9.0
EMP100016,papi_n,6.0
EMP100017,papi_n,2.0
EMP100018,papi_n,8.0
EMP100019,papi_n,1.0
EMP100020,papi_n,7.0
EMP100021,papi_n,9.0
EMP100022,papi_n,5.0
EMP100023,papi_n,7.0
EMP100024,papi_n,6.0
EMP100025,papi_n,4.0
EMP100026,papi_n,7.0
EMP100027,papi_n,1.0
EMP100028,papi_n,6.0
EMP100029,papi_n,2.0
EMP100030,papi_n,6.0
EMP100031,papi_n,6.0
EMP100032,papi_n,9.0
EMP100033,papi_n,5.0
EMP100034,papi_n,2.0
EMP100035,papi_n,3.0
EMP100036,papi_n,7.0
EMP100037,papi_n,2.0
EMP100038,papi_n,2.0
EMP100039,papi_n,2.0
EMP100040,papi_n,7.0
EMP100041,papi_n,5.0
EMP100042,papi_n,8.0
EMP100043,papi_n,8.0
EMP100044,papi_n,4.0
EMP100045,papi_n,3.0
EMP100046,papi_n,1.0
EMP100047,papi_n,9.0
EMP100048,papi_n,5.0
EMP100049,papi_n,6.0
EMP100050,papi_n,5.0
EMP100051,papi_n,7.0
EMP100052,papi_n,5.0
EMP100053,papi_n,3.0
EMP100054,papi_n,3.0
EMP100055,papi_n,8.0
EMP100056,papi_n,5.0
EMP100057,papi_n,2.0
EMP100058,papi_n,4.0
EMP100059,papi_n,6.0
EMP100060,papi_n,4.0
EMP100061,papi_n,8.0
EMP100062,papi_n,5.0
EMP100063,papi_n,8.0
EMP100064,papi_n,7.0
EMP100065,papi_n,8.0
EMP100066,papi_n,3.0
EMP100067,papi_n,7.0
EMP100068,papi_n,5.0
EMP100069,papi_n,3.0
EMP100070,papi_n,4.0
EMP100071,papi_n,6.0
EMP100072,papi_n,3.0
EMP100073,papi_n,5.0
EMP100074,papi_n,2.0
EMP100075,papi_n,5.0
EMP100076,papi_n,8.0
